Year Placed,Total Graduating students,Students placed,Median salary per annum(Rs.),Higher Studies Student,College,CollegeID,Program,Duration(Years)
2023,870,641,1500000,223,Indian Institute of Technology Bombay,IR-E-U-0306,PG,2
2021,5165,2401,450000,242,Lovely Professional University,IR-E-U-0379,UG,4
2022,3543,2435,707000,392,Lovely Professional University,IR-E-U-0379,UG,4
2023,4099,3508,650000,205,Lovely Professional University,IR-E-U-0379,UG,4
2021,105,67,615000,8,Lovely Professional University,IR-E-U-0379,PG,2
2022,124,89,810000,3,Lovely Professional University,IR-E-U-0379,PG,2
2023,135,108,840000,6,Lovely Professional University,IR-E-U-0379,PG,2
2021,52,44,600000,1,Lovely Professional University,IR-E-U-0379,PG-Integrated,5
2022,53,49,810000,1,Lovely Professional University,IR-E-U-0379,PG-Integrated,5
2023,19,19,840000,0,Lovely Professional University,IR-E-U-0379,PG-Integrated,5
2021,372,151,562000,143,Aligarh Muslim University,IR-E-U-0496,UG,4
2022,385,307,550000,78,Aligarh Muslim University,IR-E-U-0496,UG,4
2023,379,312,600000,67,Aligarh Muslim University,IR-E-U-0496,UG,4
2021,108,22,475000,59,Aligarh Muslim University,IR-E-U-0496,PG,2
2022,103,13,475000,47,Aligarh Muslim University,IR-E-U-0496,PG,2
2023,134,18,587000,53,Aligarh Muslim University,IR-E-U-0496,PG,2
2021,1072,549,405000,302,Jawaharlal Nehru Technological University,IR-E-U-0017,UG,4
2022,1150,589,550000,423,Jawaharlal Nehru Technological University,IR-E-U-0017,UG,4
2023,1220,1100,625000,120,Jawaharlal Nehru Technological University,IR-E-U-0017,UG,4
2021,379,195,400000,52,Jawaharlal Nehru Technological University,IR-E-U-0017,PG,2
2022,402,286,550000,65,Jawaharlal Nehru Technological University,IR-E-U-0017,PG,2
2021,0,0,0,0,Visvesvaraya Technological University,IR-E-U-0249,UG,4
2022,0,0,0,0,Visvesvaraya Technological University,IR-E-U-0249,UG,4
2023,0,0,0,0,Visvesvaraya Technological University,IR-E-U-0249,UG,4
2021,395,222,375000,173,Visvesvaraya Technological University,IR-E-U-0249,PG,2
2022,310,137,373000,170,Visvesvaraya Technological University,IR-E-U-0249,PG,2
2023,365,210,540000,155,Visvesvaraya Technological University,IR-E-U-0249,PG,2
2021,171,55,345000,31,Shoolini University of Biotechnology and Management Sciences,IR-E-U-0190,UG,4
2022,191,56,379000,49,Shoolini University of Biotechnology and Management Sciences,IR-E-U-0190,UG,4
2023,237,130,400000,52,Shoolini University of Biotechnology and Management Sciences,IR-E-U-0190,UG,4
2021,14,5,328000,6,Shoolini University of Biotechnology and Management Sciences,IR-E-U-0190,PG,2
2022,30,6,500000,18,Shoolini University of Biotechnology and Management Sciences,IR-E-U-0190,PG,2
2021,1634,1192,450000,11,UPES,IR-E-U-0564,UG,4
2022,1562,762,500000,49,UPES,IR-E-U-0564,UG,4
2023,925,900,650000,17,UPES,IR-E-U-0564,UG,4
2021,130,98,480000,0,UPES,IR-E-U-0564,PG,2
2022,177,155,588000,12,UPES,IR-E-U-0564,PG,2
2023,181,161,600000,5,UPES,IR-E-U-0564,PG,2
2021,3775,1953,649000,74,Kalinga Institute of Industrial Technology,IR-E-U-0356,UG,4
2022,3789,1751,450000,101,Kalinga Institute of Industrial Technology,IR-E-U-0356,UG,4
2023,3619,2636,750000,85,Kalinga Institute of Industrial Technology,IR-E-U-0356,UG,4
2021,106,98,800000,8,Kalinga Institute of Industrial Technology,IR-E-U-0356,PG,2
2022,111,103,800000,8,Kalinga Institute of Industrial Technology,IR-E-U-0356,PG,2
2023,114,105,800000,9,Kalinga Institute of Industrial Technology,IR-E-U-0356,PG,2
2021,2103,1211,500000,143,Anna University,IR-E-U-0439,UG,4
2022,2633,1669,630000,142,Anna University,IR-E-U-0439,UG,4
2023,1961,1593,750000,165,Anna University,IR-E-U-0439,UG,4
2021,1052,356,500000,69,Anna University,IR-E-U-0439,PG,2
2022,696,241,550000,27,Anna University,IR-E-U-0439,PG,2
2021,1120,683,800000,70,R V College of Engineering,IR-E-C-1269,UG,4
2022,1062,791,850000,80,R V College of Engineering,IR-E-C-1269,UG,4
2023,1072,810,1000000,95,R V College of Engineering,IR-E-C-1269,UG,4
