Academic Year,No. of students graduating in minimum stipulated time,No. of students placed,Median salary of placed graduates per annum(Amount in Rs.),No. of students selected for Higher Studies,College,CollegeID,Batch
2018-19,57,6,"450000(Four Lakhs
Fifty Thousand)",24,National Institute of Technology Meghalaya,IR-E-U-0619,PG [2 Years Program(s)]
2019-20,56,24,"550000(Five Lakh Fifty
thousand only)",20,National Institute of Technology Meghalaya,IR-E-U-0619,PG [2 Years Program(s)]
2017-18,119,92,"950000(Nine Lakh Fifty
Thousand)",11,Indian Institute of Technology Jodhpur,IR-E-U-0395,UG [4 Years Program(s)]
2018-19,106,73,900000(Nine Lakhs),7,Indian Institute of Technology Jodhpur,IR-E-U-0395,UG [4 Years Program(s)]
2019-20,112,76,"1225000(Twelve Lakh
Twenty Five
Thousand)",2,Indian Institute of Technology Jodhpur,IR-E-U-0395,UG [4 Years Program(s)]
2017-18,44,19,"820000(Eight Lakh
Twenty Thousand)",2,Indian Institute of Technology Jodhpur,IR-E-U-0395,PG [2 Years Program(s)]
2018-19,73,12,"570000(Five Lakh
Seventy Thousand)",11,Indian Institute of Technology Jodhpur,IR-E-U-0395,PG [2 Years Program(s)]
2019-20,83,17,"1150000(Eleven Lakh
Fifty Thousand)",25,Indian Institute of Technology Jodhpur,IR-E-U-0395,PG [2 Years Program(s)]
2017-18,1771,1523,"350000(Three lakh fifty
thousand)",180,Shanmugha Arts Science Technology Research Academy,IR-E-U-0476,UG [4 Years Program(s)]
2018-19,1458,1241,500000(Five lakh ),121,Shanmugha Arts Science Technology Research Academy,IR-E-U-0476,UG [4 Years Program(s)]
2019-20,1761,1543,500000(Five lakh),122,Shanmugha Arts Science Technology Research Academy,IR-E-U-0476,UG [4 Years Program(s)]
2017-18,113,91,"350000(Three lakh fifty
thousand)",16,Shanmugha Arts Science Technology Research Academy,IR-E-U-0476,PG [2 Years Program(s)]
2018-19,128,83,"360000(Three lakh
sixty thousand)",25,Shanmugha Arts Science Technology Research Academy,IR-E-U-0476,PG [2 Years Program(s)]
2017-18,162,134,"350000(Three lakh fifty
thousand)",24,Shanmugha Arts Science Technology Research Academy,IR-E-U-0476,PG-Integrated [5 Years Program(s)]
2018-19,147,121,400000(Four lakh),18,Shanmugha Arts Science Technology Research Academy,IR-E-U-0476,PG-Integrated [5 Years Program(s)]
2019-20,112,89,400000(Four lakh),16,Shanmugha Arts Science Technology Research Academy,IR-E-U-0476,PG-Integrated [5 Years Program(s)]
2017-18,758,435,"1100000(Rupees
eleven lakh only)",39,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,UG [4 Years Program(s)]
2018-19,875,584,"1100000(Rupees
eleven lakh only)",34,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,UG [4 Years Program(s)]
2019-20,838,783,"1200000(Rupees
twelve lakh only)",38,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,UG [4 Years Program(s)]
2017-18,69,15,"1000000(Rupees ten
lakh only)",3,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,PG [2 Years Program(s)]
2018-19,84,44,"710000(Rupees seven
lakh ten thousand only)",4,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,PG [2 Years Program(s)]
2019-20,107,87,"900000(Rupees nine
lakh only)",14,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,PG [2 Years Program(s)]
2017-18,351,245,"620000(Six Lakhs
Twenty Thousand )",37,Indian Institute of Engineering Science and Technology,IR-E-U-0584,UG [4 Years Program(s)]
2018-19,457,330,"650000(Six Lakhs Fifty
Thousand )",52,Indian Institute of Engineering Science and Technology,IR-E-U-0584,UG [4 Years Program(s)]
2019-20,540,381,700000(Seven Lakh),56,Indian Institute of Engineering Science and Technology,IR-E-U-0584,UG [4 Years Program(s)]
2017-18,184,43,"625000(Six Lakhs
Twenty five Thousand
)",63,Indian Institute of Engineering Science and Technology,IR-E-U-0584,PG [2 Years Program(s)]
2018-19,182,38,"680000(Six Lakhs
Eighty Thousand )",68,Indian Institute of Engineering Science and Technology,IR-E-U-0584,PG [2 Years Program(s)]
2019-20,191,45,700000(Seven Lakh),69,Indian Institute of Engineering Science and Technology,IR-E-U-0584,PG [2 Years Program(s)]
2017-18,0,0,0(Zero),0,Indian Institute of Engineering Science and Technology,IR-E-U-0584,PG-Integrated [5 Years Program(s)]
2018-19,46,11,"680000(Six Lakhs
Eighty Thousand )",2,Indian Institute of Engineering Science and Technology,IR-E-U-0584,PG-Integrated [5 Years Program(s)]
2019-20,59,16,700000(Seven Lakh),11,Indian Institute of Engineering Science and Technology,IR-E-U-0584,PG-Integrated [5 Years Program(s)]
2017-18,826,654,"710000(Seven Lakh
Ten Thousand Only)",26,Indian Institute of Technology Indian School of Mines ,IR-E-U-0205,UG [4 Years Program(s)]
2018-19,777,614,"840000(Eight Lakh
Forty Thousand Only)",32,Indian Institute of Technology Indian School of Mines ,IR-E-U-0205,UG [4 Years Program(s)]
2019-20,745,537,"1100000(Eleven Lakh
Only)",14,Indian Institute of Technology Indian School of Mines ,IR-E-U-0205,UG [4 Years Program(s)]
2017-18,125,101,"960000(Nine Lakh
Sixty Thousand Only)",9,Indian Institute of Technology Indian School of Mines ,IR-E-U-0205,UG [5 Years Program(s)]
2018-19,107,81,"1245000(Twelve Lakh
Forty Five Thousand
Only)",4,Indian Institute of Technology Indian School of Mines ,IR-E-U-0205,UG [5 Years Program(s)]
2019-20,86,69,"1300000(Thirteen Lakh
Only)",1,Indian Institute of Technology Indian School of Mines ,IR-E-U-0205,UG [5 Years Program(s)]
2017-18,658,382,600000(Six Lakh Only),92,Indian Institute of Technology Indian School of Mines ,IR-E-U-0205,PG [2 Years Program(s)]
2018-19,669,373,"625000(Six Lakh
Twenty Five Thousand
Only)",100,Indian Institute of Technology Indian School of Mines ,IR-E-U-0205,PG [2 Years Program(s)]
2019-20,468,177,"625000(Six Lakh
Twenty Five Thousand
Only)",78,Indian Institute of Technology Indian School of Mines ,IR-E-U-0205,PG [2 Years Program(s)]
2017-18,629,268,"325000(Rupees Three
Lakh Twenty Five
Thousand)",110,Pandit Deendayal Petroleum University,IR-E-U-0147,UG [4 Years Program(s)]
2018-19,630,299,"360000(Rupees Three
Lakh Sixty Thousand)",275,Pandit Deendayal Petroleum University,IR-E-U-0147,UG [4 Years Program(s)]
2019-20,756,375,"400000(Rupees Four
Lakh)",201,Pandit Deendayal Petroleum University,IR-E-U-0147,UG [4 Years Program(s)]
2017-18,109,23,"357000(Rupees Three
Lakh Fifty Seven
Thousand)",5,Pandit Deendayal Petroleum University,IR-E-U-0147,PG [2 Years Program(s)]
2018-19,105,34,"300000(Rupees Three
Lakh)",6,Pandit Deendayal Petroleum University,IR-E-U-0147,PG [2 Years Program(s)]
2017-18,1145,875,"470000(Four Lakh
Seventy Thousand)",194,M S Ramaiah Institute of Technology,IR-E-C-1331,UG [4 Years Program(s)]
2018-19,1137,847,"520000(Five Lakh
Twenty Thousand)",189,M S Ramaiah Institute of Technology,IR-E-C-1331,UG [4 Years Program(s)]
2019-20,1121,742,"450000(Four Lakh Fifty
Thousand)",153,M S Ramaiah Institute of Technology,IR-E-C-1331,UG [4 Years Program(s)]
2017-18,195,135,"450000(Four Lakh Fifty
Thousand)",9,M S Ramaiah Institute of Technology,IR-E-C-1331,PG [2 Years Program(s)]
2018-19,183,146,600000(Six Lakhs),5,M S Ramaiah Institute of Technology,IR-E-C-1331,PG [2 Years Program(s)]
2019-20,181,124,500000(Five Lakhs),6,M S Ramaiah Institute of Technology,IR-E-C-1331,PG [2 Years Program(s)]
2017-18,626,524,"784000(Seven Lakhs
Eighty Four Thousand)",102,Veermata Jijabai Technological Institute VJTI Mumbai ,IR-E-C-33641,UG [4 Years Program(s)]
2018-19,622,501,"765000(Seven Lakhs
Sixty Five Thousand)",112,Veermata Jijabai Technological Institute VJTI Mumbai ,IR-E-C-33641,UG [4 Years Program(s)]
2019-20,655,466,"701200(Seven Lakhs
One Thousand Two
Hundred)",76,Veermata Jijabai Technological Institute VJTI Mumbai ,IR-E-C-33641,UG [4 Years Program(s)]
2017-18,354,207,"670000(Six Lakhs
Seventy Thousand)",13,Veermata Jijabai Technological Institute VJTI Mumbai ,IR-E-C-33641,PG [2 Years Program(s)]
2018-19,345,210,600000(Six Lakhs),7,Veermata Jijabai Technological Institute VJTI Mumbai ,IR-E-C-33641,PG [2 Years Program(s)]
2019-20,328,149,"602000(Six Lakhs Two
Thousand)",4,Veermata Jijabai Technological Institute VJTI Mumbai ,IR-E-C-33641,PG [2 Years Program(s)]
2017-18,102,57,700000(Seven lakh),34,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG [4 Years Program(s)]
2018-19,120,60,"725000(Seven lakh
twenty five thousand)",23,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG [4 Years Program(s)]
2019-20,156,82,"896500(Eight lakh
ninety six thousand
five hundred)",37,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG [4 Years Program(s)]
2017-18,85,62,"625000(Six lakh twenty
five thousand)",15,Indian Institute of Technology Gandhinagar,IR-E-U-0139,PG [2 Years Program(s)]
2018-19,98,58,"730000(Seven lakh
thirty thousand)",25,Indian Institute of Technology Gandhinagar,IR-E-U-0139,PG [2 Years Program(s)]
2019-20,97,48,"840000(Eight lakh forty
thousand)",27,Indian Institute of Technology Gandhinagar,IR-E-U-0139,PG [2 Years Program(s)]
2017-18,33,9,"180000(One lakh
eighty thousand)",24,Indian Institute of Food Processing Technology IIFPT ,IR-E-C-45375,UG [4 Years Program(s)]
2018-19,41,10,"273000(Two lakhs
seventy three
thousand)",31,Indian Institute of Food Processing Technology IIFPT ,IR-E-C-45375,UG [4 Years Program(s)]
2019-20,40,21,"320000(Three lakhs
twenty thousand)",19,Indian Institute of Food Processing Technology IIFPT ,IR-E-C-45375,UG [4 Years Program(s)]
2017-18,28,13,"358530(Three lakhs
fifty eight thousand five
hundred and thirty )",9,Indian Institute of Food Processing Technology IIFPT ,IR-E-C-45375,PG [2 Years Program(s)]
2018-19,37,18,"332870(Three lakhs
thirty two thousand
eight hundred and
seventy)",14,Indian Institute of Food Processing Technology IIFPT ,IR-E-C-45375,PG [2 Years Program(s)]
2017-18,240,118,"850000(Eight Lakh
Fifty Thousand only)",7,Defence Institute of Advanced Technology,IR-E-U-0297,PG [2 Years Program(s)]
2018-19,248,144,"700000(Seven Lakh
only)",25,Defence Institute of Advanced Technology,IR-E-U-0297,PG [2 Years Program(s)]
2019-20,240,190,"1500000(Fifteen Lakh
only)",40,Defence Institute of Advanced Technology,IR-E-U-0297,PG [2 Years Program(s)]
2017-18,630,300,"511000(Five Lakhs
Eleven Thousand only)",32,National Institute of Technology Agartala,IR-E-U-0493,UG [4 Years Program(s)]
2018-19,627,350,"550000(Five Lakhs
Fifty Thousand only)",50,National Institute of Technology Agartala,IR-E-U-0493,UG [4 Years Program(s)]
2019-20,518,353,"695000(Six Lakhs
Ninety Five Thousand
only)",55,National Institute of Technology Agartala,IR-E-U-0493,UG [4 Years Program(s)]
2017-18,171,14,"479000(Four Lakh
Seventy Nine
Thousand only)",7,National Institute of Technology Agartala,IR-E-U-0493,PG [2 Years Program(s)]
2018-19,169,18,"525000(Five Lakh
Twenty Five Thousand
only)",31,National Institute of Technology Agartala,IR-E-U-0493,PG [2 Years Program(s)]
2019-20,180,47,"634000(Six Lakhs
Thirty Four Thousand
only)",60,National Institute of Technology Agartala,IR-E-U-0493,PG [2 Years Program(s)]
2017-18,7,1,"600000(Six Lakhs
Only)",1,National Institute of Technology Agartala,IR-E-U-0493,PG-Integrated [5 Years Program(s)]
2018-19,7,0,0(Zero),0,National Institute of Technology Agartala,IR-E-U-0493,PG-Integrated [5 Years Program(s)]
2019-20,6,3,"450000(Four Lakh Fifty
Thousand only)",1,National Institute of Technology Agartala,IR-E-U-0493,PG-Integrated [5 Years Program(s)]
2017-18,800,633,400000(four lakhs),120,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,UG [4 Years Program(s)]
2018-19,787,642,"440000(four lakhs forty
thousand)",123,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,UG [4 Years Program(s)]
2019-20,703,579,500000(Five lakhs ),107,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,UG [4 Years Program(s)]
2017-18,95,64,"414000(four lakhs
fourteen thousand)",2,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,PG [2 Years Program(s)]
2018-19,71,62,"440000(four lakhs forty
thousand)",5,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,PG [2 Years Program(s)]
2019-20,81,68,"450000(four lakhs fifty
thousand)",3,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,PG [2 Years Program(s)]
2017-18,2036,680,300000(Three Lakh),428,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,UG [4 Years Program(s)]
2018-19,2587,933,"350000(Three Lakh
Fifty Thousand )",403,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,UG [4 Years Program(s)]
2019-20,3123,1565,"435000(Four Lakh
Thirty Five Thousand)",310,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,UG [4 Years Program(s)]
2017-18,144,78,"360000(Three Lakh
Sixty Thousand)",48,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,PG [2 Years Program(s)]
2018-19,242,117,"450000(Four Lakh Fifty
Thousand)",54,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,PG [2 Years Program(s)]
2019-20,316,106,"450000(Four Lakh Fifty
Thousand)",58,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,PG [2 Years Program(s)]
2017-18,1182,709,"350000(Three lakhs
fifty thousand)",82,PSG College of Technology,IR-E-C-37013,UG [4 Years Program(s)]
2018-19,1181,654,"400000(Four lakhs
only)",125,PSG College of Technology,IR-E-C-37013,UG [4 Years Program(s)]
2019-20,1017,628,"420000(Four lakhs
twenty thousand only)",81,PSG College of Technology,IR-E-C-37013,UG [4 Years Program(s)]
2017-18,171,113,"350000(Three lakhs
fifty thousand)",4,PSG College of Technology,IR-E-C-37013,UG [5 Years Program(s)]
2018-19,183,96,400000(Four lakhs),5,PSG College of Technology,IR-E-C-37013,UG [5 Years Program(s)]
2019-20,166,115,"420000(Four lakhs
twenty thousand)",4,PSG College of Technology,IR-E-C-37013,UG [5 Years Program(s)]
2017-18,286,91,"353569(Three lakhs
fifty three thousand five
hundred and sixty
nine)",5,PSG College of Technology,IR-E-C-37013,PG [2 Years Program(s)]
2018-19,260,91,"450000(Four lakhs fifty
thousand)",1,PSG College of Technology,IR-E-C-37013,PG [2 Years Program(s)]
2019-20,286,99,"420000(Four lakhs
twenty thousand)",3,PSG College of Technology,IR-E-C-37013,PG [2 Years Program(s)]
2017-18,329,256,1500000(Fifteen Lakh),11,Indian Institute of Information Technology Allahabad,IR-E-U-0516,UG [4 Years Program(s)]
2018-19,311,257,"1293000(Twelve Lakh
Ninety Three
Thousand)",12,Indian Institute of Information Technology Allahabad,IR-E-U-0516,UG [4 Years Program(s)]
2019-20,211,184,"1900000(Nineteen
Lakh)",10,Indian Institute of Information Technology Allahabad,IR-E-U-0516,UG [4 Years Program(s)]
2017-18,72,60,1600000(Sixteen Lakh),10,Indian Institute of Information Technology Allahabad,IR-E-U-0516,PG [2 Years Program(s)]
2018-19,81,55,"1040000(Ten Lakh
Forty Thousand)",11,Indian Institute of Information Technology Allahabad,IR-E-U-0516,PG [2 Years Program(s)]
2019-20,97,62,"1150000(Eleven Lakh
Fifty Thousand)",13,Indian Institute of Information Technology Allahabad,IR-E-U-0516,PG [2 Years Program(s)]
2017-18,0,0,0(Zero),0,Indian Institute of Information Technology Allahabad,IR-E-U-0516,PG-Integrated [5 Years Program(s)]
2018-19,22,0,0(Zero),22,Indian Institute of Information Technology Allahabad,IR-E-U-0516,PG-Integrated [5 Years Program(s)]
2019-20,26,2,"945700(Nine Lakh
Forty Five Thousand
Seven Hundred)",24,Indian Institute of Information Technology Allahabad,IR-E-U-0516,PG-Integrated [5 Years Program(s)]
2017-18,454,352,600000(Six lakh),35,National Institute of Technology Patna,IR-E-U-0072,UG [4 Years Program(s)]
2018-19,473,419,600000(Six lakh),48,National Institute of Technology Patna,IR-E-U-0072,UG [4 Years Program(s)]
2019-20,438,423,"650000(Six lakh fifty
thousand)",10,National Institute of Technology Patna,IR-E-U-0072,UG [4 Years Program(s)]
2017-18,179,22,"360000(Three lakh
sixty thousand)",45,National Institute of Technology Patna,IR-E-U-0072,PG [2 Years Program(s)]
2018-19,176,2,"360000(Three lakh
sixty thousand)",47,National Institute of Technology Patna,IR-E-U-0072,PG [2 Years Program(s)]
2019-20,196,26,"360000(Three lakh
sixty thousand)",58,National Institute of Technology Patna,IR-E-U-0072,PG [2 Years Program(s)]
2017-18,196,115,"1030000(Ten Lakhs
Thirty Thousand)",59,Indian Institute of Technology Hyderabad,IR-E-U-0013,UG [4 Years Program(s)]
2018-19,191,124,"1200000(Twelve
Lakhs)",40,Indian Institute of Technology Hyderabad,IR-E-U-0013,UG [4 Years Program(s)]
2019-20,219,144,"1700000(Seventeen
Lakhs)",44,Indian Institute of Technology Hyderabad,IR-E-U-0013,UG [4 Years Program(s)]
2017-18,129,72,1000000(Ten Lakhs),10,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG [2 Years Program(s)]
2018-19,123,76,"1075000(Ten Lakhs
Seventy Five
Thousand)",33,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG [2 Years Program(s)]
2019-20,148,93,"1570000(Fifteen Lakhs
Seventy Thousand)",16,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG [2 Years Program(s)]
2017-18,35,22,"1200000(Twelve
Lakhs)",3,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG [3 Years Program(s)]
2018-19,13,10,"1360000(Thirteen
Lakhs Sixty Thousand)",0,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG [3 Years Program(s)]
2019-20,20,15,"2376000(Twenty Three
Lakhs Seventy Six
Thousand)",3,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG [3 Years Program(s)]
2017-18,158,130,"880000(Eight Lakh
Eighty Thousand)",16,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,UG [4 Years Program(s)]
2018-19,148,120,900000(Nine Lakh ),11,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,UG [4 Years Program(s)]
2019-20,195,156,"1350000(Thirteen
lakhs Fifty Thousand)",4,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,UG [4 Years Program(s)]
2017-18,0,0,0(Zero),0,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,UG [5 Years Program(s)]
2018-19,0,0,0(Zero),0,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,UG [5 Years Program(s)]
2017-18,90,53,"620000(Six Lakh
Twenty Thousand)",24,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,PG [2 Years Program(s)]
2018-19,103,66,"650000(Six Lakh Fifty
Thousand)",15,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,PG [2 Years Program(s)]
2019-20,139,65,"1150000(Eleven Lakh
Fifty Thousand)",31,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,PG [2 Years Program(s)]
2017-18,56,33,600000(Six Lakh),7,Indian Institute of Information Technology Guwahati,IR-E-U-0795,UG [4 Years Program(s)]
2018-19,58,35,600000(Six Lakh),11,Indian Institute of Information Technology Guwahati,IR-E-U-0795,UG [4 Years Program(s)]
2019-20,51,34,"625000(Six Lakh and
Twenty Five
Thousand)",5,Indian Institute of Information Technology Guwahati,IR-E-U-0795,UG [4 Years Program(s)]
2017-18,0,0,0(Zero),0,Indian Institute of Information Technology Guwahati,IR-E-U-0795,PG [2 Years Program(s)]
2018-19,0,0,0(Zero),0,Indian Institute of Information Technology Guwahati,IR-E-U-0795,PG [2 Years Program(s)]
2019-20,26,10,"650000(Six Lakh Fifty
Thousand)",3,Indian Institute of Information Technology Guwahati,IR-E-U-0795,PG [2 Years Program(s)]
2017-18,776,646,"320000(Three Lakh
Twenty Thousand )",116,Bharati Vidyapeeth Deemed University College of Engineering,IR-E-C-35417,UG [4 Years Program(s)]
2018-19,780,656,"320000(Three Lakh
Twenty Thousand )",119,Bharati Vidyapeeth Deemed University College of Engineering,IR-E-C-35417,UG [4 Years Program(s)]
2019-20,786,663,"350000(Three Lakh
Fifty Thousand )",119,Bharati Vidyapeeth Deemed University College of Engineering,IR-E-C-35417,UG [4 Years Program(s)]
2017-18,102,80,"510000(Five Lakh ten
thousand)",14,Bharati Vidyapeeth Deemed University College of Engineering,IR-E-C-35417,PG [2 Years Program(s)]
2018-19,110,88,"550000(Five Lakh fifty
thousand)",18,Bharati Vidyapeeth Deemed University College of Engineering,IR-E-C-35417,PG [2 Years Program(s)]
2019-20,111,91,600000(Six Lakh),19,Bharati Vidyapeeth Deemed University College of Engineering,IR-E-C-35417,PG [2 Years Program(s)]
2017-18,640,422,"660000(Six Lakhs
Sixty Thousand)",54,Birla Institute of Technology,IR-E-U-0202,UG [4 Years Program(s)]
2018-19,585,412,800000(Eight Lakhs),21,Birla Institute of Technology,IR-E-U-0202,UG [4 Years Program(s)]
2019-20,691,421,"843000(Eight Lakhs
Forth Three Thousand)",6,Birla Institute of Technology,IR-E-U-0202,UG [4 Years Program(s)]
2017-18,148,32,600000(Six Lakhs),37,Birla Institute of Technology,IR-E-U-0202,PG [2 Years Program(s)]
2018-19,177,35,"350000(Three Lakhs
Fifty Thousand)",36,Birla Institute of Technology,IR-E-U-0202,PG [2 Years Program(s)]
2019-20,108,17,600000(Six Lakhs),7,Birla Institute of Technology,IR-E-U-0202,PG [2 Years Program(s)]
2017-18,572,412,"1011000(Ten Lakhs
Eleven Thousand)",63,Indian Institute of Technology Bombay,IR-E-U-0306,UG [4 Years Program(s)]
2018-19,615,430,"1178400(Eleven Lakhs
Seventy Eight
Thousand Four
Hundred )",125,Indian Institute of Technology Bombay,IR-E-U-0306,UG [4 Years Program(s)]
2019-20,613,448,"1300000(Thirteen
Lakhs)",116,Indian Institute of Technology Bombay,IR-E-U-0306,UG [4 Years Program(s)]
2017-18,499,376,"793047(Seven Lakhs
Ninety Three
Thousand Forty
Seven)",0,Indian Institute of Technology Bombay,IR-E-U-0306,PG [2 Years Program(s)]
2018-19,456,369,"1026708(Ten Lakhs
Twenty Six Thousand
Seven Hundred Eight)",37,Indian Institute of Technology Bombay,IR-E-U-0306,PG [2 Years Program(s)]
2019-20,505,343,"1200000(Twelve
Lakhs)",23,Indian Institute of Technology Bombay,IR-E-U-0306,PG [2 Years Program(s)]
2017-18,2402,1135,"320000(Three Lakh
Twenty Thousand
Only)",165,Lovely Professional University,IR-E-U-0379,UG [4 Years Program(s)]
2018-19,2512,1302,"350000(Three Lakh
Fifty Thousand Only)",115,Lovely Professional University,IR-E-U-0379,UG [4 Years Program(s)]
2019-20,3936,2139,"441000(Four Lakh
Forty One Thousand
Only)",129,Lovely Professional University,IR-E-U-0379,UG [4 Years Program(s)]
2017-18,193,59,"300000(Three Lakh
Only)",16,Lovely Professional University,IR-E-U-0379,PG [2 Years Program(s)]
2018-19,139,25,"338005(Three Lakh
Thirty Eight Thousand
Five Only)",14,Lovely Professional University,IR-E-U-0379,PG [2 Years Program(s)]
2019-20,107,28,"480000(Four Lakh
Eighty Thousand Only)",1,Lovely Professional University,IR-E-U-0379,PG [2 Years Program(s)]
2017-18,73,27,"300000(Three Lakh
Only)",2,Lovely Professional University,IR-E-U-0379,PG-Integrated [5 Years Program(s)]
2018-19,46,13,"420000(Four Lakh
Twenty Thousand
Only)",2,Lovely Professional University,IR-E-U-0379,PG-Integrated [5 Years Program(s)]
2019-20,28,23,"465000(Four Lakh
Sixty Five Thousand
Only)",0,Lovely Professional University,IR-E-U-0379,PG-Integrated [5 Years Program(s)]
2017-18,394,139,"478000(Four lacs
Seventy Eight
Thousand)",156,Aligarh Muslim University,IR-E-U-0496,UG [4 Years Program(s)]
2018-19,370,121,"450000(Four Lacs Fifty
thousand)",164,Aligarh Muslim University,IR-E-U-0496,UG [4 Years Program(s)]
2019-20,348,148,500000(Five Lacs),119,Aligarh Muslim University,IR-E-U-0496,UG [4 Years Program(s)]
2017-18,127,28,"525000(Five Lacs
twenty five Thousand)",37,Aligarh Muslim University,IR-E-U-0496,PG [2 Years Program(s)]
2018-19,55,19,"462000(Four Lacs
Sixty two Thousand)",24,Aligarh Muslim University,IR-E-U-0496,PG [2 Years Program(s)]
2017-18,1183,383,"336000(Three
lakhsthirty six
thousand only)",52,Jawaharlal Nehru Technological University,IR-E-U-0017,UG [4 Years Program(s)]
2018-19,1030,371,"375000(Three lakhs
seventy five thousand
only)",45,Jawaharlal Nehru Technological University,IR-E-U-0017,UG [4 Years Program(s)]
2019-20,1030,444,"365000(three lakhs
sixty five thousand
only)",209,Jawaharlal Nehru Technological University,IR-E-U-0017,UG [4 Years Program(s)]
2017-18,534,237,"660000(Six Lakhs sixty
thousand only)",133,Jawaharlal Nehru Technological University,IR-E-U-0017,PG [2 Years Program(s)]
2018-19,406,132,"505000(Five Lakhs five
thousand only)",11,Jawaharlal Nehru Technological University,IR-E-U-0017,PG [2 Years Program(s)]
2017-18,297,246,"245000(Two lakhs and
forty five thousand)",51,Visvesvaraya Technological University,IR-E-U-0249,PG [2 Years Program(s)]
2018-19,326,230,"250000(Two lakhs and
fifty thousand)",96,Visvesvaraya Technological University,IR-E-U-0249,PG [2 Years Program(s)]
2019-20,379,120,"310000(Three lakhs
and ten thousand)",155,Visvesvaraya Technological University,IR-E-U-0249,PG [2 Years Program(s)]
2017-18,310,199,"165000(One lakhs and
sixty five thousand)",111,Visvesvaraya Technological University,IR-E-U-0249,PG [3 Years Program(s)]
2018-19,200,177,"150000(One lakhs and
fifty thousand)",23,Visvesvaraya Technological University,IR-E-U-0249,PG [3 Years Program(s)]
2019-20,204,21,"270000(Two lakhs and
seventy thousand)",14,Visvesvaraya Technological University,IR-E-U-0249,PG [3 Years Program(s)]
2017-18,2981,2115,"350000(Three Lakh
Fifty Thousand)",15,Kalinga Institute of Industrial Technology,IR-E-U-0356,UG [4 Years Program(s)]
2018-19,3673,3329,"420000(Four Lakh
Twenty Thousand)",211,Kalinga Institute of Industrial Technology,IR-E-U-0356,UG [4 Years Program(s)]
2019-20,3771,3511,"520000(Five Lakh
Twenty Thousand)",218,Kalinga Institute of Industrial Technology,IR-E-U-0356,UG [4 Years Program(s)]
2017-18,138,98,800000(Eight Lakhs),40,Kalinga Institute of Industrial Technology,IR-E-U-0356,PG [2 Years Program(s)]
2018-19,105,98,800000(Eight Lakhs),7,Kalinga Institute of Industrial Technology,IR-E-U-0356,PG [2 Years Program(s)]
2019-20,106,99,800000(Eight Lakhs),7,Kalinga Institute of Industrial Technology,IR-E-U-0356,PG [2 Years Program(s)]
2017-18,2354,1177,"500000(Rupees Five
Lakh only)",153,Anna University,IR-E-U-0439,UG [4 Years Program(s)]
2018-19,2558,1302,"500000(Rupees Five
Lakh only)",107,Anna University,IR-E-U-0439,UG [4 Years Program(s)]
2019-20,2260,1128,"550000(Rupees Five
Lakh and Fifty
Thousand only)",157,Anna University,IR-E-U-0439,UG [4 Years Program(s)]
2017-18,1325,271,"420000(Rupees Four
Lakh and Twenty
Thousand only)",37,Anna University,IR-E-U-0439,PG [2 Years Program(s)]
2018-19,1149,415,"420000(Rupees Four
Lakh and Twenty
Thousand only)",32,Anna University,IR-E-U-0439,PG [2 Years Program(s)]
2017-18,1017,757,700000(Seven Lakh ),87,R V College of Engineering,IR-E-C-1269,UG [4 Years Program(s)]
