Academic Year,No. of students graduating in minimum stipulated time,No. of students placed,Median salary of placed graduates per annum(Amount in Rs.),No. of students selected for Higher Studies,College,CollegeID,Batch
2022-23,910,795,"1250000(RUPEES
TWELEVE LAKH
FIFTY THOUSAND
ONLY)",40,National Institute of Technology Rourkela,IR-E-U-0357,UG [4 Years Program(s)]
2020-21,112,75,"800000(RUPEES
EIGHT LAKHS ONLY)",6,National Institute of Technology Rourkela,IR-E-U-0357,PG-Integrated [5 Years Program(s)]
2021-22,36,29,"697000(RUPEES SIX
LAKHS AND NINETY
SEVEN THOUSAND
ONLY)",1,National Institute of Technology Rourkela,IR-E-U-0357,PG-Integrated [5 Years Program(s)]
2022-23,34,29,"750000(RUPEES
SEVEN LAKH FIFTY
THOUSAND ONLY)",1,National Institute of Technology Rourkela,IR-E-U-0357,PG-Integrated [5 Years Program(s)]
2020-21,124,108,"650000(Six lakhs fifty
thousand only)",10,National Institute of Technology Meghalaya,IR-E-U-0619,UG [4 Years Program(s)]
2021-22,147,91,"945000(Nine lakhs
forty five thousands
only)",5,National Institute of Technology Meghalaya,IR-E-U-0619,UG [4 Years Program(s)]
2022-23,146,118,"1000000(Ten Lakhs
only)",11,National Institute of Technology Meghalaya,IR-E-U-0619,UG [4 Years Program(s)]
2020-21,37,10,"625000(Six lakhs
twenty five thousands
only)",20,National Institute of Technology Meghalaya,IR-E-U-0619,PG [2 Years Program(s)]
2021-22,37,12,"816000(Eight lakhs
sixteen thousands
only)",7,National Institute of Technology Meghalaya,IR-E-U-0619,PG [2 Years Program(s)]
2020-21,171,129,"1200000(Twelve
Lakhs)",42,Indian Institute of Technology Jodhpur,IR-E-U-0395,UG [4 Years Program(s)]
2021-22,207,164,"1500000(Fifteen
Lakhs)",43,Indian Institute of Technology Jodhpur,IR-E-U-0395,UG [4 Years Program(s)]
2022-23,312,256,"1600000(Sixteen
Lakhs)",56,Indian Institute of Technology Jodhpur,IR-E-U-0395,UG [4 Years Program(s)]
2020-21,126,74,1000000(Ten Lakhs),48,Indian Institute of Technology Jodhpur,IR-E-U-0395,PG [2 Years Program(s)]
2021-22,127,83,"1150000(Eleven Lakh
Fifty Thousand)",44,Indian Institute of Technology Jodhpur,IR-E-U-0395,PG [2 Years Program(s)]
2022-23,124,91,1000000(Ten Lakhs),29,Indian Institute of Technology Jodhpur,IR-E-U-0395,PG [2 Years Program(s)]
